Year,"Manufacturing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Lending interest rate (%)
1985,21.05450311,18.22763997,33.466601,9.433333333
1986,21.009999,18.02042516,32.83078352,9.959166667
1987,18.78351295,20.55210632,32.88690102,13.96166667
1988,21.0196417,23.37164885,32.61486597,16.61666667
1989,18.35403221,21.27559734,35.39180717,20.44166667
1990,17.78259534,21.55626328,35.41032677,25.3
1991,19.49458715,20.88528311,36.96556598,20.04166667
1992,17.65449303,20.32115887,37.70960823,24.75833333
1993,18.37625,23.49113048,33.17434249,31.65
1994,20.92708023,25.17384878,31.31838955,20.48333333
1995,19.99371557,25.48650645,36.54048982,20.23333333
1996,19.10108021,26.1991592,37.44547872,19.83666667
1997,19.19853144,27.41665114,35.2488501,17.795
1998,17.45056588,27.90837138,28.70243973,18.18416667
1999,16.25736913,26.02848571,29.36369327,20.29
2000,13.93340041,21.3572413,33.82300329,21.27416667
2001,13.9253596,24.47535466,28.27626627,23.43833333
2002,11.81181308,36.96508267,23.04083719,24.77083333
2003,12.06060684,33.82706055,26.0024149,20.71416667
2004,10.86156992,27.2304536,28.39004006,19.18083333
2005,10.06108332,26.08928283,28.20158345,17.94833333
2006,8.852872608,24.73499126,25.7516356,16.89333333
2007,8.401379657,24.66257721,24.34471784,16.93916667
2008,8.168912972,25.27975078,24.7142489,15.13583333
2009,7.838411937,26.74885451,21.23676148,18.99083333
2010,6.552816976,23.89370409,25.31745224,17.585
2011,7.171084296,22.23471099,28.27779989,16.02
2012,7.724546672,21.85995862,27.0730175,16.79166667
2013,8.928929322,20.75862283,25.74232124,16.7225
2014,9.635811603,19.99025477,24.64360859,16.54833333
2015,9.428437322,20.63189348,20.1607829,16.84916667
2016,8.679697782,20.98310971,18.17313173,16.86801576
2017,8.741993492,20.84657143,22.3151172,17.55333333
2018,9.648947481,21.20377372,25.73330658,16.90389696
2019,11.5223587,21.90629593,27.38253705,15.37658698
2020,12.66726516,24.14330587,28.22050552,13.64202167
2021,14.61070297,23.35705876,31.40753404,11.48313279
2022,13.59351333,23.69187184,30.77556872,12.33454424

Metadata: This file was processed on 2024-06-18 13:47:41.840347