Year,Cur.US ($)
1980,25956311740
1981,17811400000
1982,12337840000
1983,10370124892
1984,12005730000
1985,12664760000
1986,6784081164
1987,7532090110
1988,6700160000
1989,9812308615
1990,14146488452
1991,12280245346
1992,12171840708
1993,10270453197
1994,9850679331
1995,11526114898
1996,15454416657
1997,15827035372
1998,10081955287
1999,12906819377
2000,19131986234
2001,17991827744
2002,15613435064
2003,23976048135
2004,34766236963
2005,55201459679
2006,56934944656
2007,66051055294
2008,85760407972
2009,56166746702
2010,79618734657
2011,99050952223
2012,96123518929
2013,95118100000
2014,82586100000
2015,45887800000
2016,34704000000
2017,45817500000
2018,61221100000
2019,64977600000
2020,35944200000
2021,46766132947
2022,63172379619
2023,56723112315
2024,50879931158
2025,45944181238
2026,40976765263
2027,40185656913
2028,39433107710

Metadata: This file was processed on 2024-06-18 13:47:42.349301