Year,Gross,Liquid
2006,38276224613,39306842961
2007,46979548513,43406182193
2008,59103117580,57381482982
2009,43921455953,42266707897
2010,38064064610,35852182945
2011,33541289438,31702542476
2012,38068728842,36715102014
2013,46690842312,45491592423
2014,38798357554,37769335738
2015,30696017333,29866034307
2016,26279752628,25621251373
2017,31324570259,30620578867
2018,44560903169,43831174822
2019,42990934160,42195870677
2020,35908332614,35328060374
2021,36188766437,35939678512
2022,38820984334,38309815865
2023,34656422447,33819931332
2024,33112553342,32288464396