Date (year),Population
1980,73424000.0
1981,75441000.0
1982,77428000.0
1983,79415000.0
1984,81449000.0
1985,83563000.0
1986,85766000.0
1987,88048000.0
1988,90395000.0
1989,92788000.0
1990,95212000.0
1991,97668000.0
1992,100162000.0
1993,102701000.0
1994,105294000.0
1995,107948000.0
1996,110669000.0
1997,113458000.0
1998,116320000.0
1999,119260000.0
2000,122284000.0
2001,125394000.0
2002,128596000.0
2003,131901000.0
2004,135320000.0
2005,138865000.0
2006,142538000.0
2007,146340000.0
2008,150270000.0
2009,154325000.0
2010,158503000.0
2011,162805000.0
2012,167229000.0
2013,171766000.0
2014,176405000.0
2015,181137000.0
2016,185960000.0
2017,190873000.0
2018,195875000.0
2019,200964000.0
2020,206140000.0
2021,211401000.0
2022,216747000.0
2023,222182000.0
2024,227713000.0
2025,233343000.0
2026,239073000.0
2027,244902000.0
2028,250830000.0
2029,256855000.0

Metadata: This file was processed on 2024-06-18 13:47:43.265237