Indicator Name,Food exports (% of merchandise exports)
Indicator Code,TX.VAL.FOOD.ZS.UN
1960,
1961,
1962,64.52359401
1963,62.31214505
1964,61.00378578
1965,54.37502796
1966,46.87277923
1967,51.12190462
1968,63.28508431
1969,42.09687302
1970,31.34822038
1971,19.44626393
1972,12.7975551
1973,11.76422632
1974,5.065676683
1975,5.166175442
1976,4.473770565
1977,5.664494782
1978,7.53231775
1979,3.584469019
1980,
1981,2.180091418
1982,
1983,3.773634729
1984,2.733751328
1985,2.178107653
1986,5.116928958
1987,3.137822521
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,1.652210601
1997,0.152212197
1998,0.415105802
1999,0.302382399
2000,0.138495792
2001,0.015658325
2002,0.638004455
2003,0.023576845
2004,
2005,
2006,0.055381467
2007,1.623117395
2008,1.288146478
2009,4.533894903
2010,3.339066294
2011,1.795874512
2012,5.354394863
2013,5.051333247
2014,1.872457482
2015,2.894249374
2016,1.965275192
2017,1.830758239
2018,1.982736756
2019,1.79787182
2020,2.982720658
2021,3.280085561
2022,2.753877323
2023,